sample_index,astronomical_year,jd_tdb_requested,jd_tdb_returned,x_au,y_au,z_au,vx_au_per_day,vy_au_per_day,vz_au_per_day
0,-9995,-1929538.500000000000000,-1929538.500000000000000,-0.108518309323092,-1.012649448217118,-0.025083481251070,0.016795381860323,-0.001694060679367,-0.000241495004248
1,-9990,-1927712.500000000000000,-1927712.500000000000000,-0.113302015278203,-1.012138836477198,-0.025007001512162,0.016786944262062,-0.001774402513111,-0.000243309534419
2,-9985,-1925886.500000000000000,-1925886.500000000000000,-0.118057709334514,-1.011637742767844,-0.024929358060356,0.016777692318570,-0.001854680620039,-0.000245080472522
3,-9980,-1924060.500000000000000,-1924060.500000000000000,-0.122794009515785,-1.011062111429629,-0.024851857193082,0.016768803996310,-0.001935051072462,-0.000246925236030
4,-9975,-1922233.500000000000000,-1922233.500000000000000,-0.110657567945314,-1.012419373530757,-0.025023881161628,0.016791790261521,-0.001730678493527,-0.000241681267521
5,-9970,-1920407.500000000000000,-1920407.500000000000000,-0.115340584282163,-1.011945102424740,-0.024948578807772,0.016782517700746,-0.001809686635162,-0.000243411058265
6,-9965,-1918581.500000000000000,-1918581.500000000000000,-0.120198632728266,-1.011385443431301,-0.024871098944289,0.016773625086728,-0.001890597484223,-0.000245232530305
7,-9960,-1916755.500000000000000,-1916755.500000000000000,-0.124770779446299,-1.010858989811193,-0.024796772691213,0.016764184269170,-0.001968820338478,-0.000246925244188
8,-9955,-1914928.500000000000000,-1914928.500000000000000,-0.112735320792325,-1.012190847525705,-0.024962119625260,0.016788117067318,-0.001765897636833,-0.000241740843849
9,-9950,-1913102.500000000000000,-1913102.500000000000000,-0.117515216125360,-1.011721907471708,-0.024888699365731,0.016778232076855,-0.001846204158210,-0.000243557099100
10,-9945,-1911276.500000000000000,-1911276.500000000000000,-0.122222911350222,-1.011164470832094,-0.024811264718467,0.016769216025893,-0.001926061317150,-0.000245326328271
11,-9940,-1909450.500000000000000,-1909450.500000000000000,-0.126980883647129,-1.010601485334123,-0.024735878807896,0.016759423123661,-0.002006046700509,-0.000247126628743
12,-9935,-1907623.500000000000000,-1907623.500000000000000,-0.114815804981529,-1.011991230330058,-0.024907994813892,0.016783711173133,-0.001801594188953,-0.000241879386673
13,-9930,-1905797.500000000000000,-1905797.500000000000000,-0.119619101130272,-1.011479079076360,-0.024828619936527,0.016774212883907,-0.001881631524749,-0.000243623248219
14,-9925,-1903971.500000000000000,-1903971.500000000000000,-0.124302767477405,-1.010927102465405,-0.024752951459568,0.016765116456878,-0.001960950628185,-0.000245404440364
15,-9920,-1902145.500000000000000,-1902145.500000000000000,-0.128994369909981,-1.010329965036683,-0.024675684586792,0.016755630604174,-0.002040933687955,-0.000247154083620
16,-9915,-1900318.500000000000000,-1900318.500000000000000,-0.116941840595418,-1.011796889043087,-0.024844799317607,0.016779031264674,-0.001837489576420,-0.000242005447802
