sample_index,astronomical_year,jd_tdb,set,p_jpl_rad,q_jpl_rad,p_model_rad,q_model_rad,p_residual_arcsec,q_residual_arcsec,angular_error_arcsec
0,-9995,-1.929538500000000e+06,TRAIN,2.115189548329809e-02,8.580828832758295e-03,2.116386527235701e-02,8.467043073415479e-03,-2.468946221058068e+00,2.346999760452467e+01,2.359950175319112e+01
1,-9990,-1.927712500000000e+06,TRAIN,2.114392702570114e-02,8.571095650189471e-03,2.115477656868382e-02,8.463815319615858e-03,-2.237878881193450e+00,2.212815659989077e+01,2.224103002102602e+01
2,-9985,-1.925886500000000e+06,TRAIN,2.113394760734822e-02,8.559721911895765e-03,2.114570630835027e-02,8.460399349672845e-03,-2.425406183905108e+00,2.048674905287575e+01,2.062982021037582e+01
3,-9980,-1.924060500000000e+06,TRAIN,2.112614948119413e-02,8.552183778094602e-03,2.113665439600225e-02,8.456795370494227e-03,-2.166794217539044e+00,1.967527141191049e+01,1.979422396340667e+01
4,-9975,-1.922233500000000e+06,TRAIN,2.111943643449394e-02,8.541028037258968e-03,2.112762072609815e-02,8.453003692491530e-03,-1.688131322012296e+00,1.815632441848313e+01,1.823463473035766e+01
5,-9970,-1.920407500000000e+06,TRAIN,2.111006781667561e-02,8.529195428072841e-03,2.111860518297861e-02,8.449024729280143e-03,-1.760958206347612e+00,1.653639365317023e+01,1.662989142649800e+01
6,-9965,-1.918581500000000e+06,TRAIN,2.110289087626297e-02,8.519444573687668e-03,2.110960764094567e-02,8.444858997279260e-03,-1.385432165884345e+00,1.538437946670815e+01,1.544663568101282e+01
7,-9960,-1.916755500000000e+06,TRAIN,2.109421748968924e-02,8.506795176648853e-03,2.110062796435200e-02,8.440507115212336e-03,-1.322255314267305e+00,1.367289414869875e+01,1.373668058584856e+01
8,-9955,-1.914928500000000e+06,TRAIN,2.108337398996852e-02,8.496405773062295e-03,2.109166600769950e-02,8.435969803508341e-03,-1.710351430678057e+00,1.246581355040169e+01,1.258259947267658e+01
9,-9950,-1.913102500000000e+06,TRAIN,2.107698963313714e-02,8.487976781549156e-03,2.108272161574764e-02,8.431247883604800e-03,-1.182306282565445e+00,1.170117514310404e+01,1.176075456233101e+01
10,-9945,-1.911276500000000e+06,TRAIN,2.106770802804379e-02,8.477219725572357e-03,2.107379462363103e-02,8.426342277153172e-03,-1.255450459504677e+00,1.049422704052983e+01,1.056905658204449e+01
11,-9940,-1.909450500000000e+06,TRAIN,2.106130587849447e-02,8.468389319263131e-03,2.106488485698641e-02,8.421254005127651e-03,-7.382173052041378e-01,9.722356437550808e+00,9.750342531854381e+00
12,-9935,-1.907623500000000e+06,TRAIN,2.105438340384893e-02,8.455629896119534e-03,2.105599213208873e-02,8.415984186838352e-03,-3.318240186869836e-01,8.177514543411718e+00,8.184244087702158e+00
13,-9930,-1.905797500000000e+06,TRAIN,2.104285549353329e-02,8.443737544363970e-03,2.104711625599616e-02,8.410534038850033e-03,-8.788453438679845e-01,6.848714631556613e+00,6.904872282883738e+00
14,-9925,-1.903971500000000e+06,TRAIN,2.103485281698351e-02,8.434587164103747e-03,2.103825702670406e-02,8.404904873807543e-03,-7.021686584348442e-01,6.122411856916457e+00,6.162545559312272e+00
15,-9920,-1.902145500000000e+06,TRAIN,2.102610678373840e-02,8.422953885810672e-03,2.102941423330759e-02,8.399098099169477e-03,-6.822104445606952e-01,4.920609209418074e+00,4.967676124957993e+00
16,-9915,-1.900318500000000e+06,TRAIN,2.101666031566226e-02,8.415051366847925e-03,2.102058765617267e-02,8.393115215851373e-03,-8.100721294472863e-01,4.524655935110899e+00,4.596599632994105e+00
17,-9910,-1.898492500000000e+06,TRAIN,2.101159751968470e-02,8.404271168511191e-03,2.101177706711541e-02,8.386957816780054e-03,-3.703431600712078e-02,3.571135140310798e+00,3.571327166604138e+00
18,-9905,-1.896666500000000e+06,TRAIN,2.100259089086566e-02,8.393076274678824e-03,2.100298222958955e-02,8.380627585360819e-03,-8.071940605833512e-02,2.567726490208687e+00,2.568994930130037e+00
19,-9900,-1.894840500000000e+06,TRAIN,2.099536345621581e-02,8.383077781035289e-03,2.099420289888180e-02,8.374126293859157e-03,2.393821336386988e-01,1.846376768008413e+00,1.861830007102316e+00
20,-9895,-1.893014500000000e+06,TRAIN,2.098575498102654e-02,8.370321385137675e-03,2.098543882231491e-02,8.367455801698967e-03,6.521241539786855e-02,5.910690127700492e-01,5.946555616312562e-01
21,-9890,-1.891188500000000e+06,TRAIN,2.097445126459019e-02,8.360742264260864e-03,2.097668973945802e-02,8.360618053679091e-03,-4.617185849013813e-01,2.562027158327935e-02,4.624288593495599e-01
22,-9885,-1.889362500000000e+06,TRAIN,2.096756974464210e-02,8.351982378716300e-03,2.096795538234449e-02,8.353615078110352e-03,-7.954348596565591e-02,-3.367684241736872e-01,3.460348792824171e-01
23,-9880,-1.887536500000000e+06,TRAIN,2.095949500850735e-02,8.340391086803102e-03,2.095923547569644e-02,8.346448984875104e-03,5.353248495690049e-02,-1.249531172086247e+00,1.250677367253798e+00
24,-9875,-1.885709500000000e+06,TRAIN,2.095213313765119e-02,8.331535155650696e-03,2.095052973715616e-02,8.339121963411638e-03,3.307250924450509e-01,-1.564891432844641e+00,1.599457496579181e+00
25,-9870,-1.883883500000000e+06,TRAIN,2.094546058890551e-02,8.319015556670410e-03,2.094183787752393e-02,8.331636280625677e-03,7.472378612115433e-01,-2.603211181331216e+00,2.708333966820907e+00
26,-9865,-1.882057500000000e+06,TRAIN,2.093470707842413e-02,8.308165004655142e-03,2.093315960100211e-02,8.323994278731315e-03,3.191901306246357e-01,-3.265022150354093e+00,3.280587139795411e+00
27,-9860,-1.880231500000000e+06,TRAIN,2.092705713992181e-02,8.298774375725371e-03,2.092449460544500e-02,8.316198373023999e-03,5.285606773602353e-01,-3.593957426851465e+00,3.632617014725378e+00
28,-9855,-1.878404500000000e+06,TRAIN,2.091704139470345e-02,8.288524665632888e-03,2.091584258261455e-02,8.308251049587972e-03,2.472727432451623e-01,-4.068858764451265e+00,4.076365471176974e+00
29,-9850,-1.876578500000000e+06,TRAIN,2.090754620187401e-02,8.278439881094809e-03,2.090720321844123e-02,8.300154862940844e-03,7.074541130762599e-02,-4.479036523131796e+00,4.479595192511222e+00
