rank,frequency_cycles_per_year,period_years,cosine_real_rad,cosine_imag_rad,sine_real_rad,sine_imag_rad,combined_amplitude_rad,combined_amplitude_arcsec,positive_rotating_real_rad,positive_rotating_imag_rad,negative_rotating_real_rad,negative_rotating_imag_rad
1,6.251953735542357e-05,1.599500000000000e+04,-2.189024570632089e-04,2.555112827863538e-03,5.517753714775021e-04,-2.679210682526021e-05,2.623298253416563e-03,5.410941059693137e+02,-1.228472819442346e-04,1.001668728193018e-03,-9.605517511897436e-05,1.553444099670520e-03
2,1.250390747108471e-04,7.997499999999999e+03,-5.941250244560070e-05,6.154042589614673e-04,6.688763998176745e-05,-3.322153524756661e-06,6.218820149201405e-04,1.282723733160567e+02,-3.136732798517868e-05,2.742583094898500e-04,-2.804517446042202e-05,3.411459494716174e-04
3,1.875586120662707e-04,5.331666666666667e+03,-2.671773745385892e-05,2.717171142145210e-04,1.965804169318616e-05,-1.364131904174871e-06,2.737376976428044e-04,5.646245316681929e+01,-1.404093467901690e-05,1.260295362606674e-04,-1.267680277484203e-05,1.456875779538536e-04
4,2.500781494216943e-04,3.998750000000000e+03,-1.508766916992929e-05,1.524895253320772e-04,8.255518967634398e-06,-8.224886492081009e-07,1.534585389542937e-04,3.165309580436989e+01,-7.955078909568698e-06,7.211700318222139e-05,-7.132590260360596e-06,8.037252214985578e-05
5,3.125976867771179e-04,3.199000000000000e+03,-9.673456267113298e-06,9.748916011472148e-05,4.209821494420649e-06,-5.867116652196295e-07,9.806007813385908e-05,2.022634301685557e+01,-5.130083966166464e-06,4.663966931015041e-05,-4.543372300946834e-06,5.084949080457106e-05
6,3.751172241325414e-04,2.665833333333333e+03,-6.723989420314711e-06,6.766122912516151e-05,2.425948064986202e-06,-4.573325499666746e-07,6.803931464622038e-05,1.403411605268787e+01,-3.590660985140693e-06,3.261764053008766e-05,-3.133328435174018e-06,3.504358859507385e-05
7,4.376367614879650e-04,2.285000000000000e+03,-4.942874478225390e-06,4.969239768467779e-05,1.520688670197969e-06,-3.758057100843975e-07,4.996218689892450e-05,1.030544080038788e+01,-2.659340094154894e-06,2.408585450723991e-05,-2.283534384070496e-06,2.560654317743788e-05
8,5.001562988433886e-04,1.999375000000000e+03,-3.785793477514858e-06,3.803660113256233e-05,1.013516449388721e-06,-3.200113262578761e-07,3.823931067388835e-05,7.887424007172104e+00,-2.052902401886367e-06,1.851154234158681e-05,-1.732891075628491e-06,1.952505879097553e-05
9,5.626758361988121e-04,1.777222222222222e+03,-2.991980985423066e-06,3.004891740634721e-05,7.069649126770243e-07,-2.783857748193665e-07,3.020706350405461e-05,6.230654100957560e+00,-1.635183380121216e-06,1.467097624683509e-05,-1.356797605301850e-06,1.537794115951212e-05
10,6.251953735542358e-04,1.599500000000000e+03,-2.424027131171062e-06,2.433604315545415e-05,5.122430538325074e-07,-2.473637950640587e-07,2.446308414305294e-05,5.045873310973230e+00,-1.335695463117560e-06,1.191190005081082e-05,-1.088331668053502e-06,1.242414310464333e-05
11,6.877149109096593e-04,1.454090909090909e+03,-2.003288972637906e-06,2.011048341526973e-05,3.820443691881483e-07,-2.224961851876175e-07,2.021485029269776e-05,4.169612178937363e+00,-1.112892578912762e-06,9.864219523040790e-06,-8.903963937251442e-07,1.024626389222894e-05
12,7.502344482650828e-04,1.332916666666667e+03,-1.683269989292999e-06,1.689701528759609e-05,2.920278966744487e-07,-2.021779383003243e-07,1.698436574315573e-05,3.503276909241838e+00,-9.427239637966616e-07,8.302493695460823e-06,-7.405460254963372e-07,8.594521592135271e-06
13,8.127539856205065e-04,1.230384615384615e+03,-1.434168963248408e-06,1.439636289598035e-05,2.277186342924044e-07,-1.854230372269543e-07,1.447060270780188e-05,2.984776063803463e+00,-8.097960002376810e-07,7.084322130843972e-06,-6.243729630107266e-07,7.312040765136377e-06
14,8.752735229759300e-04,1.142500000000000e+03,-1.236433739383483e-06,1.241238673013629e-05,1.806225699608137e-07,-1.712583206770437e-07,1.247630019899849e-05,2.573421643227033e+00,-7.038460300302635e-07,6.115882080087739e-06,-5.325877093532197e-07,6.296504650048553e-06
15,9.377930603313537e-04,1.066333333333333e+03,-1.076548603361700e-06,1.081114448116020e-05,1.456198386482822e-07,-1.596043075683657e-07,1.086676035257624e-05,2.241430218657767e+00,-6.180764554650330e-07,5.332762321255957e-06,-4.584721478966673e-07,5.478382159904240e-06
16,1.000312597686777e-03,9.996874999999999e+02,-9.456174393340020e-07,9.502849293402722e-06,1.163948044136215e-07,-1.495460141124011e-07,9.551662095966785e-06,1.970171731562323e+00,-5.475817267232015e-07,4.693227244494550e-06,-3.980357126108004e-07,4.809622048908172e-06
17,1.062832135042201e-03,9.408823529411764e+02,-8.169365215681432e-07,8.419190039938456e-06,1.039653795934856e-07,-1.297862361490334e-07,8.460366391363823e-06,1.745075834494105e+00,-4.733613788585883e-07,4.157612330172485e-06,-3.435751427095549e-07,4.261577709765971e-06
18,1.125351672397624e-03,8.886111111111111e+02,-7.206493307920292e-07,7.433792358299991e-06,1.565774090844602e-07,-9.818117142960893e-08,7.470927674107764e-06,1.540989449185908e+00,-4.094152511108191e-07,3.638607474607766e-06,-3.112340796812101e-07,3.795184883692226e-06
19,1.187871209753048e-03,8.418421052631578e+02,-6.772083845742480e-07,6.742897200261301e-06,6.410212211038768e-08,-1.275716371107281e-07,6.778322613603126e-06,1.398129400575161e+00,-4.023900108424881e-07,3.339397539075456e-06,-2.748183737317599e-07,3.403499661185844e-06
20,1.250390747108472e-03,7.997499999999999e+02,-6.093655698345819e-07,6.082638002397588e-06,5.613124828193750e-08,-1.194096667524018e-07,6.114509044188156e-06,1.261208023295588e+00,-3.643876182934918e-07,3.013253377057825e-06,-2.449779515410900e-07,3.069384625339763e-06
